Type,R,R,R,R,R,R,R,R,R,R
,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
Country,us,it,mc,bh,sa,br,sg,qa,gb,ae
P1,,,,,,,,,,
P2,,,,,,,,,,
P3,,,,,,,,,,
P4,,,,,,,,,,
P5,,,,,,,,,,
P6,,,,,,,,,,
P7,,,,,,,,,,
P8,,,,,,,,,,
P9,,,,,,,,,,
P10,,,,,,,,,,
P11,,,,,,,,,,
P12,,,,,,,,,,
P13,,,,,,,,,,
P14,,,,,,,,,,
P15,,,,,,,,,,
P16,,,,,,,,,,
P17,,,,,,,,,,
P18,,,,,,,,,,
P19,,,,,,,,,,
P20,,,,,,,,,,
P21,,,,,,,,,,
P22,,,,,,,,,,
FL,,,,,,,,,,
Pole,,,,,,,,,,
DOTD,,,,,,,,,,
CD,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data,20/03/2026,27/03/2026,03/04/2026,10/04/2026,17/04/2026,24/04/2026,01/05/2026,08/05/2026,15/05/2026,22/05/2026
Horario,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT
GP,Las Vegas,Monza,Monaco,Bahrein,Jeddah,Interlagos,Singapore,Qatar,Silverstone,Abu Dhabi